596	596	596	596	0
627	596	621.713	0	701.595
661	637.636	654.505	0	777.004
699.5	678.887	692.552	0	847.908
811	811	811	811	0
903	903	903	903	0
930	903	920.072	0	961.669
953	928.292	943.915	0	1023.79
963.5	959.7	962.102	1048.23	0
972	979.124	974.621	0	1050.21
977.5	989.561	981.938	0	1039.34
982.5	993.284	986.468	0	1027.55
987	994.591	989.793	0	1019.39
990	990	990	990	0
992	992	992	992	0
990	990	990	990	0
987.5	987.5	987.5	987.5	0
981.5	981.5	981.5	981.5	0
979.5	981.5	980.236	977.158	0
974	979.628	976.071	0	964.315
970	973.748	971.379	953.796	0
965.5	967.904	966.385	945.013	0
958.5	962.161	959.847	932.734	0
953.5	954.489	953.864	925.094	0
942.5	948.178	944.589	0	906.939
937	937.148	937.054	898.99	0
928.5	929.531	928.879	889.041	0
919	921.004	919.738	876.619	0
905.5	911.214	907.603	0	855.478
897	897.299	897.11	844.271	0
880.5	886.664	882.768	0	820.184
868.5	870.396	869.198	803.389	0
855	856.188	855.437	787.481	0
836.5	842.002	838.525	0	761.771
817	823.35	819.337	0	732.437
807	802.157	805.218	725.353	0
792	789.427	791.053	714.766	0
778	775.968	777.252	703.73	0
761	762.713	761.63	685.124	0
751	746.5	749.344	679.403	0
735	735.511	735.188	664.135	0
722.5	721.134	721.997	652.717	0
709.5	708.293	709.056	641.314	0
693	695.655	693.977	621.839	0
683	679.706	681.788	614.39	0
671.5	668.453	670.379	607.365	0
654.5	657.91	655.755	587.211	0
646.5	642.192	644.915	582.694	0
635	632.601	634.117	575.314	0
623.5	622.478	623.124	565.638	0
615.5	611.745	614.118	562.164	0
605.5	603.831	604.886	555.281	0
599.5	595.063	597.867	554.886	0
594	589.353	592.29	556.29	0
591	585.154	588.849	0	561.71
587	583.464	585.699	563.912	0
589.5	581.372	586.509	0	577.169
590	584.641	588.028	0	586.936
591	587.79	589.819	593.708	0
597	590.566	594.632	0	608.491
601.5	597.349	599.973	620.335	0
604	603.975	603.991	624.539	0
610	608.03	609.275	633.003	0
618	613.943	616.507	646.642	0
623.5	622.442	623.111	655.068	0
634.5	629.406	632.625	672.626	0
644.5	640.511	643.032	689.414	0
651	652.179	651.434	696.274	0
658.5	660.277	659.154	701.523	0
665.5	667.509	666.239	705.765	0
674.5	674.033	674.328	714.807	0
684	682.311	683.379	726.695	0
694	691.923	693.236	740	0
700	702.462	700.906	744.148	0
709.5	709.437	709.477	753.064	0
718	718.076	718.028	761.747	0
727	726.654	726.873	771.371	0
735.5	735.654	735.557	780.069	0
745.5	744.341	745.073	791.62	0
755.5	754.26	755.044	803.757	0
764.5	764.659	764.559	813.294	0
772.5	774.179	773.118	819.536	0
783.5	782.281	783.051	831.599	0
795.5	792.636	794.446	847.665	0
804.5	804.954	804.667	857.471	0
814.5	815.094	814.719	866.89	0
822	825.021	823.112	870.91	0
834.5	832.551	833.783	884.834	0
843	843.865	843.318	893.307	0
854	853.192	853.703	905.197	0
863.5	863.874	863.638	914.825	0
874	873.749	873.908	925.746	0
884	884.148	884.055	935.932	0
890.5	894.304	891.9	938.189	0
900	901.045	900.385	945.302	0
905.5	909.259	906.883	946.243	0
911.5	914.661	912.663	947.358	0
918	919.519	918.559	951.091	0
924	924.988	924.363	955.539	0
931	930.525	930.825	962.888	0
938	937.162	937.692	971.205	0
945	944.315	944.748	979.481	0
949.5	951.613	950.278	981.929	0
957	956.534	956.829	989.352	0
961	963.258	961.831	991.037	0
965	967.605	965.959	991.296	0
970	970.969	970.357	994.324	0
975.5	975.096	975.351	1000.05	0
977	980.237	978.191	998.029	0
976.5	982.115	978.566	0	989.853
977	980.801	978.399	983.884	0
974.5	979.487	976.335	974.164	0
972	975.91	973.439	965.23	0
968.5	971.821	969.722	956.352	0
964	967.084	965.135	946.942	0
958.5	961.543	959.62	936.644	0
952.5	955.083	953.451	926.375	0
944.5	948.103	945.826	913.062	0
938	939.354	938.498	903.479	0
929.5	931.581	930.266	891.863	0
919.5	922.679	920.67	877.177	0
908.5	912.077	909.816	860.597	0
894.5	900.091	896.557	0	838.483
883	885.082	883.766	822.195	0
870.5	871.599	870.904	807.334	0
857	858.341	857.493	791.542	0
843	844.459	843.537	775.013	0
826.5	829.993	827.785	753.546	0
809.5	813.111	810.829	730.665	0
793.5	794.983	794.046	711.206	0
776	777.67	776.615	690.798	0
758.5	759.65	758.923	670.919	0
741	741.525	741.193	651.954	0
716.5	723.55	719.094	0	618.572
700	699.221	699.713	599.905	0
685.5	679.979	683.469	0	591.678
668.5	665.318	667.329	580	0
651	650.059	650.654	564.361	0
634	633.587	633.848	547.785	0
617	616.826	616.936	530.738	0
601.5	599.887	600.906	516.791	0
589.5	584.268	587.575	0	511.125
577	572.45	575.326	505.532	0
569	561.515	566.246	0	507.66
559.5	554.65	557.715	506.341	0
555	547.543	552.256	0	512.142
550	544.309	547.906	0	516.392
545	541.658	543.77	517.285	0
545	538.516	542.614	0	526.019
547.5	539.314	544.488	0	540.454
585	585	585	585	0
623	585	609.017	0	667.506
748.5	748.5	748.5	748.5	0
836	836	836	836	0
840	836	838.528	844.685	0
821	839.745	827.898	0	805.234
725	725	725	725	0
614.5	614.5	614.5	614.5	0
664	664	664	664	0
885.5	885.5	885.5	885.5	0
938	885.5	918.681	0	999.488
960.5	934.65	950.987	0	1071.99
964	974.9	968.011	0	1072.84
962	988.729	971.836	0	1036.05
948.5	984.528	961.758	0	970.828
873.5	873.5	873.5	873.5	0
840	873.5	852.327	0	800.765
756	756	756	756	0
773	773	773	773	0
801.5	773	791.012	0	834.879
841	799.681	825.795	0	933.48
912	912	912	912	0
947.5	912	934.437	0	989.078
994	945.234	976.055	0	1106.03
1063	1063	1063	1063	0
1152	1152	1152	1152	0
